uno,lat,lon
d0001,12.86747152,80.243343519999996
d0002,13.02711628,80.266542560000005
d0003,12.989476209999999,80.259047300000006
d0004,12.992527340000001,80.266725170000001
d0005,13.03138453,80.253867439999993
d0006,13.01790216,80.263359969999996
d0007,13.039887999999999,80.260201140000007
d0008,13.025057179999999,80.267515000000003
d0009,13.026797569999999,80.247754869999994
d0010,12.990232069999999,80.259726349999994
d0011,13.03129045,80.253910349999998
d0012,13.034207909999999,80.260399359999994
d0013,13.032009370000001,80.245356860000001
d0014,13.026238169999999,80.271322810000001
d0015,12.98133088,80.263545250000007
d0016,12.98130997,80.263920760000005
d0017,12.966988560000001,80.259743650000004
d0018,13.004972950000001,80.250699100000006
d0019,12.996182940000001,80.255957080000002
d0020,13.020454279999999,80.246744449999994
d0021,12.974612580000001,80.261978740000004
d0022,13.0413409,80.26891483
d0023,13.020998970000001,80.244172939999999
d0024,12.97636681,80.263752019999998
d0025,12.999120570000001,80.255112190000006
d0026,13.004463700000001,80.258222290000006
d0027,13.005040899999999,80.250430879999996
d0028,13.040936159999999,80.254828910000001
d0029,13.04466197,80.253612849999996
d0030,13.028146660000001,80.255223310000005
d0031,13.054202419999999,80.256468049999995
d0032,13.03728167,80.240053639999999
d0033,12.988908179999999,80.25507503
d0034,13.03599726,80.253817830000003
d0035,13.0477253,80.256428189999994
d0036,13.004940299999999,80.254176330000007
d0037,12.925318369999999,80.231726969999997
d0038,13.019362599999999,80.246877100000006
d0039,13.0266705,80.260365019999995
d0040,13.028435999999999,80.264897640000001
d0041,13.01852706,80.273525649999996
d0042,13.03497814,80.258270300000007
d0043,13.03171949,80.259946929999998
d0044,13.0298154,80.258211810000006
d0045,13.02143096,80.240568769999996
d0046,13.01701261,80.271260080000005
d0047,13.03696684,80.253964150000002
d0048,13.026788420000001,80.247776329999994
d0049,13.04048564,80.254169880000006
d0050,13.026687219999999,80.256903410000007
d0051,13.030109769999999,80.257974730000001
d0052,13.027849850000001,80.2417248
d0053,13.040332340000001,80.251039800000001
d0054,13.00132077,80.250742880000004
d0055,13.04470025,80.258981070000004
d0056,13.046360050000001,80.272367880000004
d0057,13.03301577,80.256513260000006
d0058,13.02000518,80.268473599999993
d0059,13.042867429999999,80.265389060000004
d0060,12.99287138,80.254677900000004
d0061,13.029651550000001,80.264989270000001
d0062,13.026523429999999,80.255288530000001
d0063,12.894346199999999,80.227844849999997
d0064,12.951981099999999,80.23508167
d0065,12.935938889999999,80.239912540000006
d0066,13.07234268,80.230959609999999
d0067,13.02275249,80.171932670000004
d0068,13.05401114,80.240928460000006
d0069,12.964937750000001,80.243290349999995
d0070,12.808954140000001,80.218166949999997
d0071,13.070566230000001,80.222859279999994
d0072,13.078033530000001,80.235228539999994
d0073,13.067322089999999,80.219675469999999
d0074,12.890776260000001,80.205400139999995
d0075,12.94846124,80.238530620000006
d0076,12.982807559999999,80.259629529999998
d0077,13.03232538,80.165496210000001
d0078,13.06400893,80.248465370000005
d0079,12.793040680000001,80.225398909999996
d0080,12.92633592,80.227895239999995
d0081,13.05520595,80.243209649999997
d0082,12.802176830000001,80.241096650000003
d0083,13.02672748,80.15933905
d0084,12.938345399999999,80.239979289999994
d0085,12.810252719999999,80.22171342
d0086,12.897169249999999,80.205624779999994
d0087,13.08377842,80.238322289999999
d0088,12.83804934,80.232659769999998
d0089,12.79965528,80.222929280000002
d0090,13.03281168,80.249995609999999
d0091,12.79572492,80.224818740000003
d0092,13.0324404,80.164603369999995
d0093,12.943314989999999,80.2340473
d0094,13.055922750000001,80.245107290000007
d0095,13.06930088,80.222268920000005
d0096,12.92046079,80.238512679999999
d0097,12.96889865,80.237180670000001
d0098,13.069103439999999,80.222938150000004
d0099,13.056871020000001,80.235006339999998
d0100,12.92421193,80.234036759999995
d0101,13.07764463,80.226205129999997
d0102,12.86204169,80.199942210000003
d0103,13.070231120000001,80.235430960000002
d0104,12.970827140000001,80.249031610000003
d0105,13.06902419,80.225595659999996
d0106,12.935938889999999,80.239998369999995
d0107,12.87582881,80.207818759999995
d0108,13.080436730000001,80.24904291
d0109,12.883611760000001,80.199700469999996
d0110,12.896377660000001,80.196904889999999
d0111,12.96017099,80.234359819999995
d0112,12.82562347,80.203821619999999
d0113,13.02454732,80.159091149999995
d0114,12.920502620000001,80.238566329999998
d0115,12.90784083,80.205274130000006
d0116,12.93855261,80.252828710000003
d0117,13.017161440000001,80.165746630000001
d0118,13.02968269,80.184266870000002
d0119,12.87746272,80.226861150000005
d0120,12.876150620000001,80.22444892
d0121,12.964408499999999,80.259176780000004
d0122,12.932824999999999,80.235890729999994
d0123,13.03234629,80.165185080000001
d0124,13.04196363,80.241406159999997
d0125,12.894933480000001,80.208848140000001
d0126,12.89514264,80.207431940000006
d0127,13.072280080000001,80.249213530000006
